회사명,거래소코드,회계년도,이익잉여금(결손금)(*)(IFRS)(천원),법인세비용차감전순이익(손실)(IFRS연결)(천원),자산(*)(IFRS연결)(천원),부채(*)(IFRS연결)(천원),매출액(수익)(*)(IFRS연결)(천원),합계_기말인원(명),PER(최고)(IFRS),PER(최저)(IFRS),PBR(최고)(IFRS),PBR(최저)(IFRS),종가(원)
(주)갤럭시아에스엠,011420,2019/12,-27004093,-1119975,28241598,6442848,28732679,121,0,0,4.85,1.92,1485
(주)경농,002100,2010/12,94263297,12158295,198435169,50469329,143433922,324,11.62,7.77,0.78,0.52,3785
(주)경농,002100,2011/12,93959821,2222319,173774102,30787882,121253605,308,29.5,18.43,0.66,0.41,3005
(주)경농,002100,2012/12,97785397,13232615,269412832,117673838,136970449,306,11.95,9.27,0.53,0.41,3195
(주)경농,002100,2013/12,108944132,18185301,255984725,92827213,196358952,311,6.62,4.92,0.58,0.43,3545
(주)경농,002100,2014/12,114326037,11229897,284623063,115707163,188483147,340,15.35,8.18,0.88,0.47,4670
(주)경농,002100,2015/12,116916609,8739554,316341853,141674205,196418710,346,20.83,15.54,0.82,0.61,5090
(주)경농,002100,2016/12,120186449,7689345,320915151,136946019,203984939,335,30.33,17.85,1.04,0.61,5800
(주)경농,002100,2017/12,126991395,12930519,335873898,143720912,206534382,338,12.76,10.23,0.85,0.68,6010
(주)경농,002100,2018/12,141315028,11114166,357260541,155806650,212654617,350,36.55,12.7,1.97,0.68,10800
(주)경농,002100,2019/12,143910722,7388040,370874091,168988819,227510941,362,74.8,30.72,2.89,1.19,11350
(주)경동나비엔,009450,2010/12,98089995,11324787,238612022,78162772,307182060,654,15.86,10.78,0.72,0.49,29150
(주)경동나비엔,009450,2011/12,105388078,12166827,263211016,95096442,341246917,699,45.86,5.89,3.2,0.41,6000
(주)경동나비엔,009450,2012/12,112404565,11537462,299729837,123854443,379014259,784,18.25,7.47,1.17,0.48,11700
(주)경동나비엔,009450,2013/12,120692173,15510776,354779867,167498879,414177562,722,28.92,14.46,1.75,0.87,17450
(주)경동나비엔,009450,2014/12,126535986,11021081,401658957,211637077,428985365,763,45.87,23.71,2.62,1.35,29000
(주)경동나비엔,009450,2015/12,144750808,22283417,402084368,196007760,512031120,797,27.79,14.37,3.04,1.57,31250
(주)경동나비엔,009450,2016/12,170349034,48861001,429754702,190992511,583252904,911,28.92,11.77,4.13,1.68,43050
(주)경동나비엔,009450,2017/12,184187689,36553519,503697210,247190712,684660958,975,43.09,23.81,3.32,1.83,51300
(주)경동나비엔,009450,2018/12,204400342,34398186,583595818,303492202,726741615,1073,40.92,19.43,4.09,1.94,41550
(주)경동나비엔,009450,2019/12,219052793,48373383,609808343,308765719,774290704,1167,38.7,20.22,3.27,1.71,46600
(주)경동도시가스,267290,2017/12,18455504,23177646,710280194,415948312,871548284,270,,,,,36250
(주)경동도시가스,267290,2018/12,44587455,44241456,778269612,457779539,1606531867,277,7.32,4.46,0.82,0.5,33200
(주)경동도시가스,267290,2019/12,63556420,32031751,749999474,410387431,1422707835,278,9.59,4.91,0.72,0.37,21250
(주)경동인베스트,012320,2010/12,303313091,55655645,819480663,442567649,1360542926,271,3.71,3.06,0.43,0.36,42700
(주)경동인베스트,012320,2011/12,350589027,47715745,1001490869,593628327,1847666903,277,4.04,2.93,0.5,0.36,54000
(주)경동인베스트,012320,2012/12,401639393,63178987,1209924561,763415214,2502642394,284,4.96,3.2,0.62,0.4,75700
(주)경동인베스트,012320,2013/12,443421031,64159088,1205008353,706267792,2788264380,289,7.46,5.43,0.68,0.5,98100
(주)경동인베스트,012320,2014/12,483892235,90169468,1320789066,713337643,2603059058,282,10.34,7.38,0.85,0.61,111000
(주)경동인베스트,012320,2015/12,473607690,-27179548,1167819522,591340081,1604168482,287,0,0,0.85,0.57,89200
(주)경동인베스트,012320,2016/12,487530956,26125778,1126122628,538198062,1181902637,286,19.17,12.59,0.58,0.38,76700
(주)경동인베스트,012320,2017/12,490204342,47874939,599276331,198873241,195069859,11,31.06,14.18,0.73,0.34,42750
(주)경동인베스트,012320,2018/12,490394281,30689095,592002536,194135226,228644016,13,114.12,52.56,0.58,0.27,37250
(주)경동인베스트,012320,2019/12,488388576,14709699,605467383,190933746,271765025,12,0,0,0.38,0.24,36650
(주)경방,000050,2010/12,654348912,21892313,1328917440,696116954,339355972,536,12.13,8.73,0.43,0.31,120500
(주)경방,000050,2011/12,651756658,-1510965,1352324332,722619941,348136369,593,0,0,0.45,0.26,93800
(주)경방,000050,2012/12,644682471,-10281658,1335039930,714335725,333620804,579,0,0,0.43,0.26,89600
(주)경방,000050,2013/12,659786305,19103059,1296989142,660550587,347189559,676,24.26,13.4,0.54,0.3,109000
(주)경방,000050,2014/12,638717786,14189361,1301841379,654172565,329036023,679,38.52,20.7,0.85,0.45,182000
(주)경방,000050,2015/12,658295948,23310479,1318643312,655690395,357628146,615,33.63,19.54,1.09,0.63,192500
(주)경방,000050,2016/12,676787816,32415947,1301910960,622067560,377445013,574,19.47,1.35,0.88,0.06,15300
(주)경방,000050,2017/12,697532447,35580520,1274042237,574908164,360788750,503,18.1,13.99,0.66,0.51,13900
(주)경방,000050,2018/12,721795950,27151835,1301792841,593023494,351438926,462,16.01,9.67,0.65,0.39,10800
(주)경방,000050,2019/12,739385682,53908707,1370742491,629189292,343892085,259,15.48,11.29,0.47,0.34,9280
(주)경보제약,214390,2010/12,,,,,,,,,,,
(주)경보제약,214390,2011/12,,,,,,,,,,,
(주)경보제약,214390,2012/12,,,,,,,,,,,
(주)경보제약,214390,2013/12,49229635,,,,,,0,0,0,0,
(주)경보제약,214390,2014/12,51042767,,,,,,0,0,0,0,
(주)경보제약,214390,2015/12,70137655,,,,,398,33.51,11.01,7.64,2.51,14200
(주)경보제약,214390,2016/12,77090268,,,,,416,42.9,21.92,4.49,2.3,13950
(주)경보제약,214390,2017/12,90122029,,,,,410,19.7,14.37,2.66,1.94,12550
(주)경보제약,214390,2018/12,97110586,,,,,450,31.44,16.95,2.91,1.57,10250
(주)경보제약,214390,2019/12,97311975,,,,,494,52.24,33.2,1.93,1.22,8260
(주)경인양행,012610,2010/12,113286639,10162711,321754900,145616803,267600679,291,45.77,30.29,1,0.66,3500
(주)경인양행,012610,2011/12,114230282,5039149,319596954,143304448,233095049,378,59.44,25.35,1.06,0.45,4035
(주)경인양행,012610,2012/12,116860723,3325260,287452678,112463993,218604655,367,37.37,19.02,1.05,0.54,2730
(주)경인양행,012610,2013/12,127391896,13373470,316944796,127200482,260808400,431,15.99,8.54,1.13,0.61,4150
(주)경인양행,012610,2014/12,134539345,12937564,313039125,114800458,277181095,440,36,16.89,1.79,0.84,4260
(주)경인양행,012610,2015/12,132695355,5756423,326687437,125562133,263163677,469,2352.34,1208.16,1.39,0.71,3670
(주)경인양행,012610,2016/12,134468521,10328940,344298515,136005319,274873817,486,76.89,34.16,1.53,0.68,4990
(주)경인양행,012610,2017/12,133022974,6270733,357951470,147016537,299987729,517,524.66,279.82,1.49,0.8,5800
(주)경인양행,012610,2018/12,138420161,17664838,412996589,189237207,331102011,619,40.51,25.59,1.57,0.99,5800
(주)경인양행,012610,2019/12,141210052,17888643,472081003,234647863,358802386,617,85.88,46.23,2.11,1.14,7740
(주)고려시멘트,198440,2014/12,,,,,,,,,,,2045
(주)고려시멘트,198440,2015/12,,,,,,,,,,,2020
(주)고려시멘트,198440,2016/12,,,,,,,,,,,1995
(주)고려시멘트,198440,2017/12,32693982,,,,,110,96.87,51.17,1.3,0.68,1720
(주)고려시멘트,198440,2018/12,36114087,,,,,112,30.67,11.05,1.68,0.61,2595
(주)고려시멘트,198440,2019/12,38016547,,,,,97,43.83,18.17,1.7,0.71,3075
(주)고바이오랩,348150,2019/12,-56732604,-44066665,35321574,88945439,576519,,,,,,
(주)고영테크놀러지,098460,2010/12,33328807,19785602,70677514,15523546,72956931,132,14.53,5.4,4.59,1.71,18000
(주)고영테크놀러지,098460,2011/12,48018923,19118047,87006201,17383474,86130810,162,18.21,8.84,4.84,2.35,30900
