회사명,거래소코드,회계년도,매출액(수익)(*)(IFRS연결)(천원),자산(*)(IFRS연결)(천원),당기순이익(손실)(IFRS연결)(천원),계속영업이익(손실)(IFRS연결)(천원),유동자산(*)(IFRS연결)(천원),유형자산(*)(IFRS연결)(천원)
(주)골프존뉴딘홀딩스,121440,2015/12,164536448,767325175,871101274,-22960983,97152205,401308099
(주)골프존뉴딘홀딩스,121440,2016/12,243275475,760772930,2876449,2876449,102314350,398579767
(주)골프존뉴딘홀딩스,121440,2017/12,213756902,756500949,-21585123,-20731308,117348020,394254656
(주)골프존뉴딘홀딩스,121440,2018/12,223036801,774743339,-7527390,-5158216,99968915,380012689
(주)골프존뉴딘홀딩스,121440,2019/12,228935651,776384700,-34848135,-34848135,125716505,360513819
(주)공구우먼,366030,2017/12,,,,,,
(주)공구우먼,366030,2018/12,,,,,,
(주)공구우먼,366030,2019/12,,,,,,
(주)광림,014200,2010/12,,,,,,
(주)광림,014200,2011/12,,,,,,
(주)광림,014200,2012/12,,,,,,
(주)광림,014200,2013/12,,,,,,
(주)광림,014200,2014/12,231446314,244886480,-237860,-237860,149961809,56739580
(주)광림,014200,2015/12,,,,,,
(주)광림,014200,2016/12,87302967,229596737,-1896521,-1896521,88113464,70932936
(주)광림,014200,2017/12,135191558,208058303,-23602051,-23602051,78175789,58197036
(주)광림,014200,2018/12,136595300,187812629,-28445678,-28445678,75325405,59154003
(주)광림,014200,2019/12,145864184,252468254,-14006972,-14006972,114526470,60314708
(주)광명전기,017040,2010/12,103512739,115957584,254176,254176,62806889,21499292
(주)광명전기,017040,2011/12,92382628,123886511,-1825104,-1825104,70952226,20386015
(주)광명전기,017040,2012/12,117216514,131064345,407617,407617,80616850,18456738
(주)광명전기,017040,2013/12,117852824,120910764,6473480,6473480,78305715,17081607
(주)광명전기,017040,2014/12,134778387,138580023,9107331,9107331,93730239,17811443
(주)광명전기,017040,2015/12,116316957,131457603,8891002,8891002,83058514,17802534
(주)광명전기,017040,2016/12,96942911,146859319,11593891,3825654,72296041,19037693
(주)광명전기,017040,2017/12,101561159,152717140,-2043260,-2043260,72825667,34515922
